Time,Quarter,Total_Revenue,SMI_US_Ad_Revenue,Capture_Rate,ORI,Lag,MAU,YoY_Y,Y_test,Y_test_YoY
2015-Q1,Q1,3920000,882352.94,0.225090051,,,80,,3920000,
2015-Q2,Q2,5300000,2312778.24,0.436373208,,,86,,5300000,
2015-Q3,Q3,16730000,5497875.57,0.32862379,,,94,,16730000,
2015-Q4,Q4,32720000,17617242.81,0.540222066,,,107,,32720000,
2016-Q1,Q1,38800000,8557367.48,0.23586067,217.74,3920000,122,890%,38800000,890%
2016-Q2,Q2,71800000,21454692.9,0.304227827,217.65,5300000,143,1255%,71800000,1255%
2016-Q3,Q3,128200000,39836738.8,0.312774548,246.24,16730000,153,666%,128200000,666%
2016-Q4,Q4,165680000,47388231.18,0.288630806,243.14,32720000,158,406%,165680000,406%
2017-Q1,Q1,149650000,43617170.98,0.292539873,263.86,38800000,166,286%,149650000,286%
2017-Q2,Q2,181670000,40125625.83,0.222717064,316.49,71800000,173,153%,181670000,153%
2017-Q3,Q3,207940000,43676549.47,0.21730755,327.13,128200000,178,62%,207940000,62%
2017-Q4,Q4,285690000,61412071.81,0.221129809,369.2,165680000,187,72%,285690000,72%
2018-Q1,Q1,230670000,44115844.12,0.196304522,405.16,149650000,191,54%,230670000,54%
2018-Q2,Q2,262260000,40664602.35,0.1563726,460.31,181670000,188,44%,262260000,44%
2018-Q3,Q3,297700000,43751889.08,0.149796164,468.03,207940000,186,43%,297700000,43%
2018-Q4,Q4,389820000,45923547.09,0.121782215,362.63,285690000,186,36%,389820000,36%
2019-Q1,Q1,320430000,34286990.2,0.112838536,442.02,230670000,190,39%,289837592,26%
2019-Q2,Q2,388020000,46043629.2,0.121109577,446.23,262260000,203,48%,352154655,34%
2019-Q3,Q3,446200000,55874276.32,0.127882658,421.84,297700000,210,50%,407599882,37%
2019-Q4,Q4,,91027738.42,0.12,464.76,389820000,220,,570759730,46%
